cluster	gene
Fibroblast(Aorta)	Klhl13
Fibroblast(Aorta)	Mxra8
Fibroblast(Aorta)	Oat
Fibroblast(Aorta)	Ptprf
Fibroblast(Aorta)	Tcf7l2
Fibroblast(Aorta)	Pcolce2
Fibroblast(Aorta)	Ptprd
Fibroblast(Aorta)	Sema5a
Fibroblast(Aorta)	A430110N23Rik
Fibroblast(Aorta)	Pcdhgc3
Fibroblast(Aorta)	Pir
Fibroblast(Aorta)	Ltbp1
Fibroblast(Aorta)	Svep1
Fibroblast(Aorta)	Gpx7
Fibroblast(Aorta)	Ndn
Fibroblast(Aorta)	Pdgfrl
Fibroblast(Aorta)	Clec11a
Fibroblast(Aorta)	Bgn
Fibroblast(Aorta)	Serpinh1
Fibroblast(Aorta)	Calu
Fibroblast(Aorta)	Parp3
Fibroblast(Aorta)	Tst
Fibroblast(Aorta)	Ehbp1
Fibroblast(Aorta)	Fam114a1
Fibroblast(Aorta)	Lamb2
Fibroblast(Aorta)	Ctsl
Fibroblast(Aorta)	Fhl1
Fibroblast(Aorta)	Emp3
Fibroblast(Aorta)	Igfbp4
Fibroblast(Aorta)	Osbpl5
Fibroblast(Aorta)	Ccdc127
Fibroblast(Aorta)	Ubtd2
Fibroblast(Aorta)	Clip4
Fibroblast(Aorta)	Glis2
Fibroblast(Aorta)	Ergic1
Fibroblast(Aorta)	Spsb1
Fibroblast(Aorta)	Lamc1
Fibroblast(Aorta)	H6pd
Fibroblast(Aorta)	Bace1
Fibroblast(Aorta)	Pik3r2
Fibroblast(Aorta)	Col4a6
Fibroblast(Aorta)	Lpp
Fibroblast(Aorta)	Nfic
Fibroblast(Aorta)	Thra
Fibroblast(Aorta)	Gpx3
Fibroblast(Aorta)	Steap3
Fibroblast(Aorta)	Ntn1
Fibroblast(Aorta)	Tmem100
Fibroblast(Aorta)	Odz3
Fibroblast(Aorta)	P4ha1
Fibroblast(Aorta)	Ednra
Fibroblast(Aorta)	Neo1
Fibroblast(Aorta)	9530068E07Rik
Fibroblast(Aorta)	Plin3
Fibroblast(Aorta)	Dse
Fibroblast(Aorta)	Dpysl3
Fibroblast(Aorta)	Ugp2
Fibroblast(Aorta)	Ecm1
Fibroblast(Aorta)	Hmgn1
Fibroblast(Aorta)	Mterfd2
Fibroblast(Aorta)	Mtap1a
Fibroblast(Aorta)	C1qtnf6
Fibroblast(Aorta)	Olfml1
Fibroblast(Aorta)	Dock7
Fibroblast(Aorta)	Atn1
Fibroblast(Aorta)	Tmem9
Fibroblast(Aorta)	Twist1
Fibroblast(Aorta)	Tspan3
Fibroblast(Aorta)	Serpinb6a
Fibroblast(Aorta)	Ak1
Fibroblast(Aorta)	Abca1
Fibroblast(Aorta)	Sgce
Fibroblast(Aorta)	Gli3
Fibroblast(Aorta)	Smoc2
Fibroblast(Aorta)	Hcfc1r1
Fibroblast(Aorta)	C1qtnf7
Fibroblast(Aorta)	Map1lc3a
Fibroblast(Aorta)	Sgms2
Fibroblast(Aorta)	Mdk
Fibroblast(Aorta)	Ergic3
Fibroblast(Aorta)	Fam26e
Fibroblast(Aorta)	Zfyve21
Fibroblast(Aorta)	Lum
Fibroblast(Aorta)	Lgi2
Fibroblast(Aorta)	Surf4
Fibroblast(Aorta)	Ifi205
Fibroblast(Aorta)	Fkbp9
Fibroblast(Aorta)	Fndc3b
Fibroblast(Aorta)	Igf2r
Fibroblast(Aorta)	Tppp3
Fibroblast(Aorta)	Irs1
Fibroblast(Aorta)	Runx1t1
Fibroblast(Aorta)	C2
Fibroblast(Aorta)	Fbln5
