CellType	Metagene
ActivatememoryCD4Tcell	CD3G
ActivatememoryCD4Tcell	CD40LG
ActivatememoryCD4Tcell	CD6
ActivatememoryCD4Tcell	CD7
ActivatememoryCD4Tcell	CDC25A
ActivatememoryCD4Tcell	CSF2
ActivatememoryCD4Tcell	CTLA4
ActivatememoryCD4Tcell	CXCL13
ActivatememoryCD4Tcell	DPP4
ActivatememoryCD4Tcell	GPR171
ActivatememoryCD4Tcell	GPR19
ActivatememoryCD4Tcell	GZMB
ActivatememoryCD4Tcell	ICOS
ActivatememoryCD4Tcell	IFNG
ActivatememoryCD4Tcell	IL12RB2
ActivatememoryCD4Tcell	IL17A
ActivatememoryCD4Tcell	IL26
ActivatememoryCD4Tcell	IL2RA
ActivatememoryCD4Tcell	IL3
ActivatememoryCD4Tcell	IL4
ActivatememoryCD4Tcell	IL9
ActivatememoryCD4Tcell	LAG3
ActivatememoryCD4Tcell	LCK
ActivatememoryCD4Tcell	LTA
ActivatememoryCD4Tcell	NKG7
ActivatememoryCD4Tcell	ORC1
ActivatememoryCD4Tcell	PMCH
ActivatememoryCD4Tcell	RRP9
ActivatememoryCD4Tcell	SH2D1A
ActivatememoryCD4Tcell	SKA1
ActivatememoryCD4Tcell	TNFRSF4
ActivatememoryCD4Tcell	TNIP3
ActivatememoryCD4Tcell	TRAC
ActivatememoryCD4Tcell	TRAT1
ActivatememoryCD4Tcell	UBASH3A
Tfollicularhelpercell	CD2
Tfollicularhelpercell	CD247
Tfollicularhelpercell	CD27
Tfollicularhelpercell	CD3D
Tfollicularhelpercell	CD3G
Tfollicularhelpercell	CD40LG
Tfollicularhelpercell	CD69
Tfollicularhelpercell	CD7
Tfollicularhelpercell	CHI3L2
Tfollicularhelpercell	CTLA4
Tfollicularhelpercell	CXCL13
Tfollicularhelpercell	CXCR5
Tfollicularhelpercell	DGKA
Tfollicularhelpercell	FAIM3
Tfollicularhelpercell	FOSB
Tfollicularhelpercell	FZD3
Tfollicularhelpercell	GPR19
Tfollicularhelpercell	GZMM
Tfollicularhelpercell	ICA1
Tfollicularhelpercell	ICOS
Tfollicularhelpercell	IL21
Tfollicularhelpercell	ITK
Tfollicularhelpercell	KLRB1
Tfollicularhelpercell	LAG3
Tfollicularhelpercell	LAT
Tfollicularhelpercell	LCK
Tfollicularhelpercell	LEF1
Tfollicularhelpercell	LTA
Tfollicularhelpercell	MAP4K1
Tfollicularhelpercell	MAP9
Tfollicularhelpercell	PASK
