cluster	gene
Bladder cell(Bladder)	Egflam
Bladder cell(Bladder)	Acta2
Bladder cell(Bladder)	Eml1
Bladder cell(Bladder)	Kdelc2
Bladder cell(Bladder)	Cfh
Bladder cell(Bladder)	Tpm2
Bladder cell(Bladder)	Gja1
Bladder cell(Bladder)	Gas7
Bladder cell(Bladder)	Prdx4
Bladder cell(Bladder)	Xdh
Bladder cell(Bladder)	Qsox1
Bladder cell(Bladder)	Grasp
Bladder cell(Bladder)	Krtdap
Bladder cell(Bladder)	Errfi1
Bladder cell(Bladder)	Vasn
Bladder cell(Bladder)	Swi5
Bladder cell(Bladder)	Add3
Bladder cell(Bladder)	Bhlhe40
Bladder cell(Bladder)	Clec3b
Bladder cell(Bladder)	Gpm6b
Bladder cell(Bladder)	Ptgs2
Bladder cell(Bladder)	Fam105a
Bladder cell(Bladder)	Has1
Bladder cell(Bladder)	Icam1
Bladder cell(Bladder)	Tpm3
Bladder cell(Bladder)	Il4ra
Bladder cell(Bladder)	Lpar1
Bladder cell(Bladder)	Wnt5b
Bladder cell(Bladder)	Prnp
Bladder cell(Bladder)	Meis2
Bladder cell(Bladder)	Ogn
Bladder cell(Bladder)	Ppp1r18
Bladder cell(Bladder)	Glis2
Bladder cell(Bladder)	Cntn4
Bladder cell(Bladder)	Pdgfrb
Bladder cell(Bladder)	Dpysl3
Bladder cell(Bladder)	Ubc
Bladder cell(Bladder)	Lgmn
Bladder cell(Bladder)	Rhobtb3
Bladder cell(Bladder)	Dact1
Bladder cell(Bladder)	Shisa5
Bladder cell(Bladder)	Fgf7
Bladder cell(Bladder)	Gda
Bladder cell(Bladder)	Gem
Bladder cell(Bladder)	Ptov1
Bladder cell(Bladder)	Ypel3
Bladder cell(Bladder)	Zbtb20
Bladder cell(Bladder)	Gata5
Bladder cell(Bladder)	Abhd14a
Bladder cell(Bladder)	BC013529
Bladder cell(Bladder)	Scd1
Bladder cell(Bladder)	Twsg1
Bladder cell(Bladder)	Egr2
Bladder cell(Bladder)	Tmem167
Bladder cell(Bladder)	C4b
Bladder cell(Bladder)	Fam102b
Bladder cell(Bladder)	Tprgl
Bladder cell(Bladder)	P4ha1
Bladder cell(Bladder)	Cox6b2
Bladder cell(Bladder)	Sfrp1
Bladder cell(Bladder)	Ski
Bladder cell(Bladder)	Snai1
Bladder cell(Bladder)	Pgm5
Bladder cell(Bladder)	Anapc5
Bladder cell(Bladder)	Ube2d3
Bladder cell(Bladder)	Spcs1
Bladder cell(Bladder)	Gngt2
Bladder cell(Bladder)	Npy1r
Bladder cell(Bladder)	Anpep
Bladder cell(Bladder)	Gnb4
Bladder cell(Bladder)	Lepr
Bladder cell(Bladder)	Fbln2
Bladder cell(Bladder)	Nop58
Bladder cell(Bladder)	Acvrl1
Bladder cell(Bladder)	Lrrc17
Bladder cell(Bladder)	Grn
Bladder cell(Bladder)	Serpinb6a
Bladder cell(Bladder)	Rgs2
Bladder cell(Bladder)	Bdh2
Bladder cell(Bladder)	Sox5
Bladder cell(Bladder)	Sec24d
Bladder cell(Bladder)	Numbl
Bladder cell(Bladder)	Col15a1
Bladder cell(Bladder)	Gnb2
Bladder cell(Bladder)	Cfb
Bladder cell(Bladder)	Txnip
Bladder cell(Bladder)	Sec31a
Bladder cell(Bladder)	1110002B05Rik
Bladder cell(Bladder)	Lix1l
Bladder cell(Bladder)	Cdr2l
Bladder cell(Bladder)	Stat3
Bladder cell(Bladder)	Jak1
Bladder cell(Bladder)	Cebpb
