Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
Aebp1	Aplp1	C5ar1	Bhlhe22	Btbd2	Cchcr1	Cacnb3	Ckb	Fstl1
AK129341	Apod	Camk1	Brd9	C1ql1	Ccm2l	Cadm3	Cldn10	Fzd5
Ak7	Arfgap3	Capn3	Bves	Cacng5	Cd2ap	Calml3	Clybl	Gbp6
Ak8	Arhgap23	Casp1	C030023E24Rik	Calb2	Cd34	Camk2n1	Cmbl	Gm12216
Akip1	Arhgef10	Casp4	C230091D08Rik	Calca	Cd40	Camkk2	Cml1	Gm13889
Alms1	Arl2	Cass4	C2cd2l	Camk2d	Cd59b	Car10	Cmya5	Gm16845
Ankrd42	Arrdc3	Cbr2	C2cd4b	Ccnh	Cdc42ep3	Cckbr	Cntfr	Gm19705
Anxa11	Arsg	Ccdc50	Cacna1e	Cdh7	Cdh5	Ccl19_loc1	Col16a1	Gm5077
Apeh	Asah2	Ccdc88b	Cacng8	Cds2	Cdkn2b	Ccl19_loc2	Cry2	Gpr20
Armc3	Aspa	Ccdc9	Cadm2	Celf6	Cep85l	Ccl27a_loc1	Cspg5	Gucd1
Arvcf	Atat1	Ccl12	Camsap3	Cib2	Chd5	Ccl27a_loc2	Cth	Gucy1b3
Ascc1	Atp10b	Ccl24	Camta2	Cidea	Chrnb1	Ccl27b_loc2	Ctnnbip1	Hspb2
Atp8b5	Atp11a	Ccl2	Casd1	Cilp2	Cldn5	Cdh18	Cyp2j9	Il34
B9d1	Atp1b3	Ccl3	Ccdc109b	Clnk	Clec1a	Chrm4	Cyp4f14	Itga10
Bace2	B230206H07Rik	Ccl4	Ccdc112	Clrn1	Clic5	Cish	Cyp4v3	Itga8
BC021891	B3galt5	Ccl6	Ccdc177	Cnr1	Cmtm8	Cldn26	Cyp7b1	Kctd16
BC026585	B3gnt9	Ccl7	Ccdc32	Cntn5	Cnot6l	Cmpk2	D030047H15Rik	Kirrel
